1,肖申克的救赎,9.7,1994,弗兰克·德拉邦特 Frank Darabont,希望让人自由。,2304569
2,霸王别姬,9.6,1993,陈凯歌 Kaige Chen,风华绝代。,1709820
3,阿甘正传,9.5,1994,罗伯特·泽米吉斯 Robert Zemeckis,一部美国近现代史。,1733112
4,这个杀手不太冷,9.4,1994,吕克·贝松 Luc Besson,怪蜀黍和小萝莉不得不说的故事。,1913405
5,泰坦尼克号,9.4,1997,詹姆斯·卡梅隆 James Cameron,失去的才是永恒的。,1695453
6,美丽人生,9.5,1997,罗伯托·贝尼尼 Roberto Benigni,最美的谎言。,1069302
7,千与千寻,9.4,2001,宫崎骏 Hayao Miyazaki,最好的宫崎骏，最好的久石让。,1812383
8,辛德勒的名单,9.5,1993,史蒂文·斯皮尔伯格 Steven Spielberg,拯救一个人，就是拯救整个世界。,884785
9,盗梦空间,9.3,2010,克里斯托弗·诺兰 Christopher Nolan,诺兰给了我们一场无法盗取的梦。,1679309
10,忠犬八公的故事,9.4,2009,莱塞·霍尔斯道姆 Lasse Hallström,永远都不能忘记你所爱的人。,1151545
11,星际穿越,9.3,2014,克里斯托弗·诺兰 Christopher Nolan,爱是一种力量，让我们超越时空感知它的存在。,1351198
12,楚门的世界,9.3,1998,彼得·威尔 Peter Weir,如果再也不能见到你，祝你早安，午安，晚安。,1265158
13,海上钢琴师,9.3,1998,朱塞佩·托纳多雷 Giuseppe Tornatore,每个人都要走一条自己坚定了的路，就算是粉身碎骨。,1364757
14,三傻大闹宝莱坞,9.2,2009,拉库马·希拉尼 Rajkumar Hirani,英俊版憨豆，高情商版谢耳朵。,1532447
15,机器人总动员,9.3,2008,安德鲁·斯坦顿 Andrew Stanton,小瓦力，大人生。,1079237
16,放牛班的春天,9.3,2004,克里斯托夫·巴拉蒂 Christophe Barratier,天籁一般的童声，是最接近上帝的存在。,1062129
17,大话西游之大圣娶亲,9.2,1995,刘镇伟 Jeffrey Lau,一生所爱。,1237391
18,疯狂动物城,9.2,2016,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,1494933
19,无间道,9.2,2002,刘伟强 / 麦兆辉,香港电影史上永不过时的杰作。,1024181
20,熔炉,9.3,2011,黄东赫 Dong-hyuk Hwang,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,752237
21,教父,9.3,1972,弗朗西斯·福特·科波拉 Francis Ford Coppola,千万不要记恨你的对手，这样会让你失去理智。,752521
22,当幸福来敲门,9.1,2006,加布里尔·穆奇诺 Gabriele Muccino,平民励志片。,1231018
23,龙猫,9.2,1988,宫崎骏 Hayao Miyazaki,人人心中都有个龙猫，童年就永远不会消失。,1026901
24,怦然心动,9.1,2010,罗伯·莱纳 Rob Reiner,真正的幸福是来自内心深处。,1450961
25,控方证人,9.6,1957,比利·怀尔德 Billy Wilder,比利·怀德满分作品。,354545
26,触不可及,9.2,2011,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,满满温情的高雅喜剧。,799968
27,蝙蝠侠：黑暗骑士,9.2,2008,克里斯托弗·诺兰 Christopher Nolan,无尽的黑暗。,837536
28,末代皇帝,9.3,1987,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,638129
29,活着,9.3,1994,张艺谋 Yimou Zhang,张艺谋最好的电影。,650948
30,寻梦环游记,9.1,2017,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,死亡不是真的逝去，遗忘才是永恒的消亡。,1270283
31,何以为家,9.1,2018,娜丁·拉巴基 Nadine Labaki,凝视卑弱生命，用电影改变命运。,802453
32,乱世佳人,9.3,1939,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,Tomorrow is another day.,553522
33,指环王3：王者无敌,9.2,2003,彼得·杰克逊 Peter Jackson,史诗的终章。,608488
34,哈利·波特与魔法石,9.1,2001,Chris Columbus,童话世界的开端。,850828
35,飞屋环游记,9.0,2009,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,最后那些最无聊的事情，才是最值得怀念的。,1074159
36,摔跤吧！爸爸,9.0,2016,涅提·蒂瓦里 Nitesh Tiwari,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,1268077
37,素媛,9.3,2013,李濬益 Jun-ik Lee,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,527292
38,少年派的奇幻漂流,9.1,2012,李安 Ang Lee,瑰丽壮观、无人能及的冒险之旅。,1126174
39,十二怒汉,9.4,1957,Sidney Lumet,1957年的理想主义。,370236
40,哈尔的移动城堡,9.1,2004,宫崎骏 Hayao Miyazaki,带着心爱的人在天空飞翔。,796567
41,鬼子来了,9.3,2000,姜文 Wen Jiang,对敌人的仁慈，就是对自己残忍。,495255
42,天空之城,9.1,1986,宫崎骏 Hayao Miyazaki,对天空的追逐，永不停止。,674545
43,大话西游之月光宝盒,9.0,1995,刘镇伟 Jeffrey Lau,旷古烁今。,984099
44,我不是药神,9.0,2018,文牧野 Muye Wen,对我们国家而言，这样的电影多一部是一部。,1687484
45,罗马假日,9.0,1953,威廉·惠勒 William Wyler,爱情哪怕只有一天。,781687
46,闻香识女人,9.1,1992,马丁·布莱斯 Martin Brest,史上最美的探戈。,684458
47,辩护人,9.2,2013,杨宇硕 Woo-seok Yang,电影的现实意义大过电影本身。,489216
48,天堂电影院,9.2,1988,朱塞佩·托纳多雷 Giuseppe Tornatore,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,514027
49,猫鼠游戏,9.0,2002,史蒂文·斯皮尔伯格 Steven Spielberg,骗子大师和执著警探的你追我跑故事。,703003
50,大闹天宫,9.4,1961(中国大陆),万籁鸣 Laiming Wan / 唐澄 Cheng  Tang,经典之作，历久弥新。,328505
51,搏击俱乐部,9.0,1999,大卫·芬奇 David Fincher,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,690070
52,教父2,9.2,1974,弗朗西斯·福特·科波拉 Francis Ford Coppola,优雅的孤独。,421730
53,狮子王,9.0,1994,Roger Allers / 罗伯·明可夫 Rob Minkoff,动物版《哈姆雷特》。,660601
54,钢琴家,9.2,2002,罗曼·波兰斯基 Roman Polanski,音乐能化解仇恨。,439016
55,指环王2：双塔奇兵,9.1,2002,彼得·杰克逊 Peter Jackson,承前启后的史诗篇章。,555990
56,死亡诗社,9.1,1989,彼得·威尔 Peter Weir,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,556562
57,黑客帝国,9.0,1999,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,视觉革命。,640312
58,指环王1：魔戒再现,9.0,2001,彼得·杰克逊 Peter Jackson,传说的开始。,623451
59,饮食男女,9.1,1994,李安 Ang Lee,人生不能像做菜，把所有的料都准备好了才下锅。,469250
60,美丽心灵,9.0,2001,朗·霍华德 Ron Howard,爱是一切逻辑和原由。,608355
62,窃听风暴,9.2,2006,"弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck",别样人生。,451783
64,两杆大烟枪,9.1,1998,Guy Ritchie,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,486380
66,海蒂和爷爷,9.2,2015,阿兰·葛斯彭纳 Alain Gsponer,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,356482
67,飞越疯人院,9.1,1975,米洛斯·福尔曼 Miloš Forman,自由万岁。,465607
70,拯救大兵瑞恩,9.0,1998,史蒂文·斯皮尔伯格 Steven Spielberg,美利坚精神输出大片No1.,517605
71,穿条纹睡衣的男孩,9.1,2008,马克·赫尔曼 Mark Herman,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,409724
72,小鞋子,9.2,1997,马基德·马基迪 Majid Majidi,奔跑的孩子是天使。,324202
73,音乐之声,9.1,1965,罗伯特·怀斯 Robert Wise,用音乐化解仇恨，让歌声串起美好。,479322
75,海豚湾,9.3,2009,路易·西霍尤斯 Louie Psihoyos,海豚的微笑，是世界上最高明的伪装。,305752
76,美国往事,9.2,1984,赛尔乔·莱翁内 Sergio Leone,往事如烟，无处祭奠。,332614
87,摩登时代,9.3,1936,查理·卓别林 Charles Chaplin,大时代中的人生，小人物的悲喜。,230249
96,狩猎,9.1,2012,托马斯·温特伯格 Thomas Vinterberg,人言可畏。,297231
100,红辣椒,9.0,2006,今敏 Satoshi Kon,梦的勾结。,336241
103,小森林 夏秋篇,9.0,2014,森淳一 Junichi Mori,那些静得只能听见呼吸的日子里，你明白孤独即生活。,339566
110,小森林 冬春篇,9.0,2015,森淳一 Junichi Mori,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,304844
112,一一,9.1,2000,杨德昌 Edward Yang,我们都曾经是一一。,284795
118,人生果实,9.5,2017,伏原健之 Kenshi Fushihara,土壤没有落叶不会肥沃，没有了你就不算人生。,129994
120,无人知晓,9.1,2004,是枝裕和 Hirokazu Koreeda,我的平常生活就是他人的幸福。,231492
126,完美的世界,9.1,1993,克林特·伊斯特伍德 Clint Eastwood,坏人的好总是比好人的好来得更感人。,221701
135,天书奇谭,9.2,1983(中国大陆),王树忱 Shuchen Wang / 钱运达 Yunda Qian,传奇的年代，醉人的童话。,183306
146,哪吒闹海,9.1,1979,严定宪 Dingxian Yan / 王树忱 Shuchen Wang,想你时你在闹海。,201167
148,七武士,9.3,1954,黑泽明 Akira Kurosawa,时代悲歌。,152882
156,上帝之城,9.0,2002,"费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund",被上帝抛弃了的上帝之城。,249802
157,未麻的部屋,9.0,1997,今敏 Satoshi Kon,好的剧本是，就算你猜到了结局也猜不到全部。,227948
174,忠犬八公物语,9.2,1987,Seijirô Kôyama,养狗三日，便会对你终其一生。,151905
181,惊魂记,9.0,1960,阿尔弗雷德·希区柯克 Alfred Hitchcock,故事的反转与反转，分裂电影的始祖。,200679
197,雨中曲,9.0,1952,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,骨灰级歌舞片。,166364
207,城市之光,9.3,1931,Charles Chaplin,永远的小人物，伟大的卓别林。,106893
220,海洋,9.1,2009,雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,大海啊，不全是水。,138201
234,东京教父,9.0,2003,今敏 Satoshi Kon,,141532
236,东京物语,9.2,1953,小津安二郎 Yasujirô Ozu,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,105623
243,我爱你,9.1,2011,秋昌民 Chang-min Choo,你要相信，这世上真的有爱存在，不管在什么年纪,129577
